Grupo;Descrição; Masculino;Feminino;Geral;Poder
Servidores;Quantidade ;308.415;248.035;556.450;Executivo
Servidores;Remuneração média (R$) ;9.521,69;8.344,20;8.996,83;Executivo
Servidores;Idade média (anos) ;47,97;46,6;47,13;Executivo
Aposentados;Quantidade ;202.842;225.028;427.870;Executivo
Aposentados;Provento.médio..R..;9.690.99;8.833.11;9.239.81;Executivo
Aposentados;Idade média (anos);72,87;70,61;71,68;Executivo
Pensionistas;Quantidade;27.038;268.519;295.557;Executivo
Pensionistas;Provento médio (R$);6.080,43;6.098,97;6.097,27;Executivo
Pensionistas;Idade média (anos);63,53;72,31;71,5;Executivo
