Grupo;Descrição ;Masculino;Feminino;Geral;Poder
;Quantidade ;9.375;7.253;16.628;Ministério Público
Servidores;Remuneração média (R$) ;14.944,32;15.078,18;15.002,71;Ministério Público
;Idade média (anos) ;46,19;44,71;45,55;Ministério Público
;Quantidade ;1.006;1.504;2.510;Ministério Público
Aposentados;Provento médio (R$) ;22.474,67;18.926,95;20.348,87;Ministério Público
;Idade média (anos) ;70,77;68,34;69,32;Ministério Público
;Quantidade ;173;793;966;Ministério Público
Pensionistas;Provento médio (R$) ;12.071,66;16.853,92;15.997,47;Ministério Público
;Idade média (anos) ;49,98;66,72;63,73;Ministério Público
